Full_ID,Acclim_temp,Location,SF,Latitude,Sample_Date,Weight_mg,Weight_logmg,Ctmax_degC,Treatment,ARR_overall,Group
ALB17_9,17,Albany,1,37.89,9,206,2.31386722,30.3,ALB17,0.06,Albany
ALB17_11,17,Albany,1,37.89,9,232.6,2.36660971,30.6,ALB17,0.06,Albany
ALB17_21,17,Albany,1,37.89,9,1055.6,3.023499382,29.4,ALB17,0.06,Albany
ALB17_4,17,Albany,1,37.89,9,1555,3.191730393,29.4,ALB17,0.06,Albany
ALB17_15,17,Albany,1,37.89,9,1794.8,3.254016061,29.5,ALB17,0.06,Albany
ALB13_1,13,Albany,1,37.89,9,4020.2,3.604247659,29.6,ALB13,0.06,Albany
BFI13_5,13,Bay Farm,1,37.74,8,14.8,1.170261715,31.8,BFI13,0.2525,BayFarm
BFI17_5,17,Bay Farm,1,37.74,8,767.2,2.884908594,31.6,BFI17,0.2525,BayFarm
BFI13_6,13,Bay Farm,1,37.74,8,961.9,2.983129925,32.3,BFI13,0.2525,BayFarm
BFI17_2,17,Bay Farm,1,37.74,8,1074.4,3.031166,31.7,BFI17,0.2525,BayFarm
BFI13_2,13,Bay Farm,1,37.74,8,1082.8,3.034548247,31.1,BFI13,0.2525,BayFarm
BFI17_16,17,Bay Farm,1,37.74,8,1279.9,3.107176039,31.4,BFI17,0.2525,BayFarm
BFI21_4,21,Bay Farm,1,37.74,8,1311.9,3.117900732,32.7,BFI21,0.2525,BayFarm
BFI17_12,17,Bay Farm,1,37.74,8,1498.7,3.175714707,31.5,BFI17,0.2525,BayFarm
BFI17_14,17,Bay Farm,1,37.74,8,1499.3,3.175888541,31.5,BFI17,0.2525,BayFarm
BFI17_22,17,Bay Farm,1,37.74,8,1615.5,3.208306962,31.6,BFI17,0.2525,BayFarm
BFI17_11,17,Bay Farm,1,37.74,8,1687.7,3.22729525,31.3,BFI17,0.2525,BayFarm
BFI17_18,17,Bay Farm,1,37.74,8,1741.8,3.240998286,29.4,BFI17,0.2525,BayFarm
BFI13_1,13,Bay Farm,1,37.74,8,1876.3,3.273302279,29.1,BFI13,0.2525,BayFarm
BFI21_9,21,Bay Farm,1,37.74,8,1913.5,3.281828467,32.9,BFI21,0.2525,BayFarm
BFI21_2,21,Bay Farm,1,37.74,8,1944.4,3.288785612,33.1,BFI21,0.2525,BayFarm
BFI17_4,17,Bay Farm,1,37.74,8,2005.9,3.302309278,31.3,BFI17,0.2525,BayFarm
BFI21_15,21,Bay Farm,1,37.74,8,2090.2,3.320187843,32.7,BFI21,0.2525,BayFarm
BFI17_12,17,Bay Farm,1,37.74,8,2101.5,3.322529394,33.1,BFI17,0.2525,BayFarm
BFI17_15,17,Bay Farm,1,37.74,8,2385.5,3.377579421,31.2,BFI17,0.2525,BayFarm
BFI21_22,21,Bay Farm,1,37.74,8,2405.1,3.381133138,33.2,BFI21,0.2525,BayFarm
BFI21_16,21,Bay Farm,1,37.74,8,2419.8,3.383779472,32.4,BFI21,0.2525,BayFarm
BFI21_6,21,Bay Farm,1,37.74,8,2501.6,3.398217868,33.9,BFI21,0.2525,BayFarm
BFI21_7,21,Bay Farm,1,37.74,8,2572.9,3.410422907,33.9,BFI21,0.2525,BayFarm
BFI17_7,17,Bay Farm,1,37.74,8,2667.6,3.426120709,30,BFI17,0.2525,BayFarm
BFI17_6,17,Bay Farm,1,37.74,8,2673.7,3.427112676,31.4,BFI17,0.2525,BayFarm
BFI17_9,17,Bay Farm,1,37.74,8,2713.5,3.433529826,31.8,BFI17,0.2525,BayFarm
BFI13_18,13,Bay Farm,1,37.74,8,2759.1,3.440767441,31.1,BFI13,0.2525,BayFarm
COO13_12,13,Coos Bay,0,43.34,6,297.6,2.473632927,26.6,COO13,0.1957,Coos
COO13_9,13,Coos Bay,0,43.34,6,398.1,2.599992178,24,COO13,0.1957,Coos
COO21_16,21,Coos Bay,0,43.34,6,398.5,2.600428326,28.2,COO21,0.1957,Coos
COO13_7,13,Coos Bay,0,43.34,6,458,2.660865478,26.8,COO13,0.1957,Coos
COO13_5,13,Coos Bay,0,43.34,6,498.2,2.697403723,26.7,COO13,0.1957,Coos
COO13_22,13,Coos Bay,0,43.34,6,504.2,2.702602841,26.8,COO13,0.1957,Coos
COO21_12,21,Coos Bay,0,43.34,6,550.5,2.740757323,27.4,COO21,0.1957,Coos
COO21_11,21,Coos Bay,0,43.34,6,576.2,2.760573254,27.4,COO21,0.1957,Coos
COO21_19,21,Coos Bay,0,43.34,6,577.7,2.761702368,29.4,COO21,0.1957,Coos
COO13_15,13,Coos Bay,0,43.34,6,581.5,2.764549719,28.1,COO13,0.1957,Coos
COO13_14,13,Coos Bay,0,43.34,6,584.4,2.766710207,24.6,COO13,0.1957,Coos
COO13_4,13,Coos Bay,0,43.34,6,592.8,2.772908195,26.6,COO13,0.1957,Coos
COO13_19,13,Coos Bay,0,43.34,6,594.9,2.774443969,26.6,COO13,0.1957,Coos
COO13_16,13,Coos Bay,0,43.34,6,692.3,2.840294332,26.8,COO13,0.1957,Coos
COO13_18,13,Coos Bay,0,43.34,6,693.4,2.840983837,26.7,COO13,0.1957,Coos
COO13_1,13,Coos Bay,0,43.34,6,774.7,2.889133556,27,COO13,0.1957,Coos
COO13_21,13,Coos Bay,0,43.34,6,776,2.889861721,27,COO13,0.1957,Coos
COO21_4,21,Coos Bay,0,43.34,6,930.7,2.968809714,28.2,COO21,0.1957,Coos
COO17_2,17,Coos Bay,0,43.34,6,942.4,2.974235277,28.4,COO17,0.1957,Coos
COO21_6,21,Coos Bay,0,43.34,6,1002.4,3.001041058,27.7,COO21,0.1957,Coos
COO17_11,17,Coos Bay,0,43.34,6,1079.7,3.033303101,27.2,COO17,0.1957,Coos
CRB13_3,13,Crown Beach,1,37.77,8,134.9,2.13001195,32,CRB13,0.0234375,CrownBeach
CRB13_18,13,Crown Beach,1,37.77,8,136.2,2.134177108,32.1,CRB13,0.0234375,CrownBeach
CRB17_15,17,Crown Beach,1,37.77,8,146.3,2.165244326,32.4,CRB17,0.0234375,CrownBeach
CRB17_12,17,Crown Beach,1,37.77,8,196.8,2.294025094,30.8,CRB17,0.0234375,CrownBeach
CRB21_2,21,Crown Beach,1,37.77,8,214.9,2.332236415,32.7,CRB21,0.0234375,CrownBeach
CRB13_2,13,Crown Beach,1,37.77,8,215.1,2.33264041,32.5,CRB13,0.0234375,CrownBeach
CRB21_4,21,Crown Beach,1,37.77,8,249.2,2.396548038,31.3,CRB21,0.0234375,CrownBeach
CRB21_19,21,Crown Beach,1,37.77,8,268.5,2.42894429,34.4,CRB21,0.0234375,CrownBeach
CRB13_9,13,Crown Beach,1,37.77,8,311.9,2.494015375,31.9,CRB13,0.0234375,CrownBeach
