treatment,group,HS,vial,wet.mass,(Intercept),time,slope,adj.slope,mgO2hrg
Humboldt13,Humboldt13,noHS,1,415.2,80.87038081,-0.086566777,0.086566777,0.086566777,0.875675486
Humboldt13,Humboldt13,noHS,2,67.3,82.62829086,-0.039034738,0.039034738,0.039034738,2.436046046
Humboldt13,Humboldt13,noHS,4,241.1,80.15743153,-0.07028012,0.07028012,0.07028012,1.224290768
Humboldt13,Humboldt13,noHS,6,61.8,83.82253809,-0.047853825,0.047853825,0.047853825,3.252201703
Humboldt13,Humboldt13,noHS,11,105.8,73.62236651,-0.023940222,0.023940222,0.023940222,0.950367965
Humboldt13,Humboldt13,noHS,12,471.3,79.29998887,-0.129019038,0.129019038,0.129019038,1.149755908
Humboldt13,Humboldt13,noHS,14,412.9,83.24041031,-0.235796588,0.235796588,0.235796588,2.398512153
Humboldt13,Humboldt13,noHS,15,112.3,81.4918388,-0.055162758,0.055162758,0.055162758,2.063077335
Humboldt13,Humboldt13,noHS,16,224.8,79.07879397,-0.101632818,0.101632818,0.101632818,1.89883378
Humboldt13,Humboldt13,noHS,18,366.6,81.34482044,-0.098289224,0.098289224,0.098289224,1.126063118
Humboldt13,Humboldt13,noHS,19,135,79.37989446,-0.060400718,0.060400718,0.060400718,1.87913345
Humboldt13,Humboldt13,noHS,22,952.7,76.49508278,-0.164009775,0.164009775,0.164009775,0.723040888
Humboldt13HS,Humboldt13,HS,1,415.2,66.37925452,-0.140206604,0.140206604,0.140206604,1.418274893
Humboldt13HS,Humboldt13,HS,2,67.3,71.59869809,-0.129975107,0.129975107,0.129975107,8.111373704
Humboldt13HS,Humboldt13,HS,4,241.1,75.20491014,-0.13095657,0.13095657,0.13095657,2.281284096
Humboldt13HS,Humboldt13,HS,6,61.8,71.79485744,-0.21373101,0.21373101,0.21373101,14.52540846
Humboldt13HS,Humboldt13,HS,11,105.8,67.15153772,-0.160018976,0.160018976,0.160018976,6.352360125
Humboldt13HS,Humboldt13,HS,12,471.3,66.32829924,-0.161121363,0.161121363,0.161121363,1.435836458
Humboldt13HS,Humboldt13,HS,14,412.9,59.0740004,-0.165020343,0.165020343,0.165020343,1.678579416
Humboldt13HS,Humboldt13,HS,15,112.3,74.75752774,-0.192206292,0.192206292,0.192206292,7.188481089
Humboldt13HS,Humboldt13,HS,16,224.8,79.15423061,-0.179530224,0.179530224,0.179530224,3.354212375
Humboldt13HS,Humboldt13,HS,18,366.6,68.28063446,-0.206229025,0.206229025,0.206229025,2.362689317
Humboldt13HS,Humboldt13,HS,19,135,61.43040095,-0.221937024,0.221937024,0.221937024,6.904707399
Humboldt13HS,Humboldt13,HS,22,952.7,71.41334895,-0.29029985,0.29029985,0.29029985,1.279793606
Morro13,Morro13,noHS,5,380.8,77.94830113,-0.133309613,0.133309613,0.133309613,1.470326611
Morro13,Morro13,noHS,15,428.5,81.59804197,-0.216285644,0.216285644,0.216285644,2.119952635
Morro13,Morro13,noHS,19,295.9,78.77662658,-0.15671486,0.15671486,0.15671486,2.224408282
Morro13HS,Morro13,HS,5,380.8,78.67876083,-0.091369945,0.091369945,0.091369945,1.007756742
Morro13HS,Morro13,HS,15,428.5,79.48800893,-0.10219028,0.10219028,0.10219028,1.001631684
Morro13HS,Morro13,HS,19,295.9,70.29254154,-0.016789336,0.016789336,0.016789336,0.238307574
Coos13,Coos13,noHS,1,774.7,85.62879954,-0.086780281,0.086780281,0.086780281,0.470475256
Coos13,Coos13,noHS,4,592.8,85.05424975,-0.12552944,0.12552944,0.12552944,0.889378627
Coos13,Coos13,noHS,5,498.2,84.63061051,-0.136961959,0.136961959,0.136961959,1.154637152
Coos13,Coos13,noHS,7,458,87.2072303,-0.088126402,0.088126402,0.088126402,0.808146041
Coos13,Coos13,noHS,9,398.1,91.67720628,-0.194835004,0.194835004,0.194835004,2.055531318
Coos13,Coos13,noHS,12,297.6,84.43255774,-0.055641845,0.055641845,0.055641845,0.785267973
Coos13,Coos13,noHS,14,584.4,86.09932022,-0.10220244,0.10220244,0.10220244,0.734514455
Coos13,Coos13,noHS,15,581.5,84.92722545,-0.125701034,0.125701034,0.125701034,0.90790085
Coos13,Coos13,noHS,16,692.3,90.01593145,-0.265942158,0.265942158,0.265942158,1.61340035
Coos13,Coos13,noHS,18,693.4,82.59514132,-0.131921499,0.131921499,0.131921499,0.799063019
Coos13,Coos13,noHS,19,594.9,82.91535881,-0.123234664,0.123234664,0.123234664,0.870037969
Coos13,Coos13,noHS,21,776,85.21598631,-0.137625416,0.137625416,0.137625416,0.744879827
Coos13,Coos13,noHS,22,504.2,85.30225726,-0.172800194,0.172800194,0.172800194,1.439430418
Coos13HS,Coos13,HS,1,774.7,92.77993617,-0.0487073,0.0487073,0.0487073,0.264064359
Coos13HS,Coos13,HS,4,592.8,97.07525329,-0.08978673,0.08978673,0.08978673,0.636140802
Coos13HS,Coos13,HS,5,498.2,92.84275541,-0.037248512,0.037248512,0.037248512,0.314017962
Coos13HS,Coos13,HS,7,458,93.81183233,-0.069924405,0.069924405,0.069924405,0.641228167
Coos13HS,Coos13,HS,9,398.1,95.02284843,-0.050092741,0.050092741,0.050092741,0.528484077
Coos13HS,Coos13,HS,12,297.6,91.81725072,-0.073301271,0.073301271,0.073301271,1.034493743
Coos13HS,Coos13,HS,14,584.4,85.95150958,-0.005384457,0.005384457,0.005384457,0.03869733
Coos13HS,Coos13,HS,15,581.5,83.29823764,0.042310454,0.042310454,0.042310454,0.305595711
Coos13HS,Coos13,HS,16,692.3,92.19561804,-0.059610023,0.059610023,0.059610023,0.361638159
Coos13HS,Coos13,HS,18,693.4,83.36425323,-0.024470817,0.024470817,0.024470817,0.148222428
Coos13HS,Coos13,HS,19,594.9,84.39886251,-0.09320269,0.09320269,0.09320269,0.658011933
Coos13HS,Coos13,HS,21,776,99.55843274,-0.119065829,0.119065829,0.119065829,0.644428456
Coos13HS,Coos13,HS,22,504.2,93.19098535,-0.033532001,0.033532001,0.033532001,0.279322499
PtMolate13,PtMolate13,noHS,4,1403.2,65.72475118,-0.296879682,0.296879682,0.296879682,0.888607941
PtMolate13,PtMolate13,noHS,12,1687.7,54.20067165,-0.087129216,0.087129216,0.087129216,0.216829239
PtMolate13,PtMolate13,noHS,15,1062.7,58.33127655,-0.24235494,0.24235494,0.24235494,0.957834523
PtMolate13,PtMolate13,noHS,21,770.3,64.54036839,-0.169714067,0.169714067,0.169714067,0.925352564
